title,pubDate,guid,link,description
ဘီဘီစီ မြန်မာ နေ့စဉ် ရုပ်သံအစီအစဉ်ကို မဇ္စျိမတီဗီ တွင် ကြည့်ရှုနိုင်ပြီ,"Mon, 26 Mar 2018 16:15:48 GMT",https://www.bbc.com/burmese/institutional-43548528#6,https://www.bbc.com/burmese/institutional-43548528,နိုင်ငံတကာ နှင့် ဒေသတွင်းဖြစ်ပျက်နေသည့် နေ့စဉ် အရေးကြီးသတင်းများကို ပရိသတ်ထံသို့ အရောက် သယ်ဆောင်လာပါပြီ။
လိင်ပိုင်းဆိုင်ရာ နှောင့်ယှက်မှုနဲ့ တိုင်ကြားခံရတဲ့ NUG ကိုယ်စားလှယ်ကိစ္စ ဘယ်လို ဖြေရှင်းနေလဲ,"Fri, 21 Jun 2024 14:52:48 GMT",https://www.bbc.com/burmese/articles/cxwwzzl9erjo#0,https://www.bbc.com/burmese/articles/cxwwzzl9erjo, တိုင်ကြားသူအမျိုးသမီးက သူ့ အနေနဲ့ ထိပါးနှောင့်ယှက်မှုလည်းခံရပြီး  တရားမျှတမှုမရတဲ့အပြင် အလုပ်ပါထုတ်ခံရလို့ တရားမျှတမှုလိုချင်တယ်လို့ ပြောထားပါတယ်။
အပူဒဏ်သင့်လူနာတွေကိုကုသပေးနေတဲ့ အိန္ဒိယက ပထမဆုံးအရေးပေါ်ဆေးခန်း,"Fri, 21 Jun 2024 09:23:23 GMT",https://www.bbc.com/burmese/articles/clmm7r2vx2ko#0,https://www.bbc.com/burmese/articles/clmm7r2vx2ko,မြို့တော်ဒေလီမှာတော့ အိန္ဒိယမှာ ပထမဆုံးလို့ဆိုနိုင်တဲ့ဆေး‌ပေးခန်းတစ်ခုမှာ ဆရာဝန်တွေဟာ အပူရှပ်လူနာတွေရဲ့အသက်ကို ကယ်တင်ဖို့ ကြိုးစားနေကြပါတယ်။
စစ်တပ်ပစ်ခတ်မှုကြောင့် ဝင်းနိမ္မိတာရုံဆရာတော်ကြီးပျံလွန်တော်မူခဲ့တဲ့ဖြစ်စဥ်အသေးစိတ်,"Fri, 21 Jun 2024 01:05:26 GMT",https://www.bbc.com/burmese/articles/cx99zey9jx4o#0,https://www.bbc.com/burmese/articles/cx99zey9jx4o,''ကားထဲကိုကြည့်လိုက်တဲ့အခါမှာ အရှင်ဘုရားတို့ရဲ့ ညီတော် နောင်တော်၊ ဒါယိကာ၊ ဒါယိကာမတို့ရဲ့ ဝင်းနိမ္မိတာရုံဆရာ‌တော်ဟာ ခေါင်းငိုက်စိုက်ကျပြီး အသက်မရှိတော့ပါဘူးဘုရား'' လို့ ကြုံခဲ့ရတဲ့အခြေအနေကို ကန်သုံးဆင့်ဆရာတော်က ပြန်ပြောပြပါတယ်။
လိင်ပိုင်းဆိုင်ရာ နှောင့်ယှက်မှုနဲ့ တိုင်ကြားခံရတဲ့ NUG ကိုယ်စားလှယ်ကိစ္စ ဘယ်လို ဖြေရှင်းနေလဲ,"Sat, 22 Jun 2024 07:51:47 GMT",https://www.bbc.com/burmese/articles/cxwwzzl9erjo#0,https://www.bbc.com/burmese/articles/cxwwzzl9erjo, တိုင်ကြားသူအမျိုးသမီးက သူ့ အနေနဲ့ ထိပါးနှောင့်ယှက်မှုလည်းခံရပြီး  တရားမျှတမှုမရတဲ့အပြင် အလုပ်ပါထုတ်ခံရလို့ တရားမျှတမှုလိုချင်တယ်လို့ ပြောထားပါတယ်။
သတင်း မကြည့်ချင်သူတွေ ပိုများလာနေ,"Sat, 22 Jun 2024 11:52:16 GMT",https://www.bbc.com/burmese/articles/cxxx3ldz4e7o#0,https://www.bbc.com/burmese/articles/cxxx3ldz4e7o,သတင်းဆိုရင် မကြည့်တဲ့သူတွေ အခုအခါ စံချိန်တင် တိုးလာနေတယ်လို့ Reuters Institute ရဲ့ ၂၀၂၄ ခုနှစ် Digital News Report အစီရင်ခံစာသစ်မှာ ဖော်ပြထားပါတယ်။
ဂါဇာစစ်ပွဲ - ICRC ရဲ့ ဂါဇာရုံးခန်းအနီး လက်နက်ကြီးကျည်တွေကျပြီး လူ ၂၂ ယောက် သေဆုံး,"Sat, 22 Jun 2024 14:30:16 GMT",https://www.bbc.com/burmese/articles/clkke4lzvreo#0,https://www.bbc.com/burmese/articles/clkke4lzvreo,ဂါဇာကမ်းရိုးတန်းမြို့က ICRC နေရာတွေ လက်နက်ကြီးကျည်တွေကြောင့် ထိခိုက်ပြီး၊ အနီးဝန်းကျင်မှာ လူ ၂၂ ယောက် သေဆုံး
ဇွန် ၂၂ ရက် နိုင်ငံတဝန်း သတင်းအနှစ်ချုပ် - ဆရာတော်တွေကားကို ပစ်ခတ်ခဲ့တယ် လို့ စစ်ကောင်စီဝန်ခံ,"Sat, 22 Jun 2024 10:54:05 GMT",https://www.bbc.com/burmese/articles/cx88q0x3q9yo#0,https://www.bbc.com/burmese/articles/cx88q0x3q9yo,ဝင်းနိမ္မိတာရုံ ဆရာတော် ပျံလွန်တော်မူခဲ့တဲ့ ပစ်ခတ်ခံရမှုကို စစ်ကောင်စီက စိစစ်ခဲ့ပြီးနောက် ဆရာတော်တွေပါဝင်တဲ့ ကားကို နောက်ကနေ ပစ်ခတ်တားဆီးခဲ့တယ်လို့ စစ်ကောင်စီ သတင်းထုတ်ပြန်ရေးအဖွဲ့ခေါင်းဆောင် ဗိုလ်ချုပ်ဇော်မင်းထွန်းက ပြောပါတယ်။
စစ်ဆေးဖမ်းဆီးမှုတွေကြောင့် ဆန်စျေးနှုန်းကျလာနိုင်လား,"Sun, 23 Jun 2024 12:05:14 GMT",https://www.bbc.com/burmese/articles/c144kw9ww90o#0,https://www.bbc.com/burmese/articles/c144kw9ww90o,"""မိတ္ထီလာရောက်တော့ ဆန်စျေးဘယ်လိုရှိလဲမေးလိုက်တာ  ပေါ်ဆန်းက ၂ သိန်းနားရောက်နေပြီ စျေးအရမ်းတက်နေတယ်လို့ တစ်ယောက်က ဖြေလိုက်တယ်။  သူက (ဗိုလ်ချုပ်မှူးကြီးမင်းအောင်လှိုင်) အဲဒီမှာစျေးမှန်ကို သိသွားတယ်ပြောတယ်။ အဲဒီကနေလိုက်ပြီးတော့ စစ်ခိုင်းတော့တာပဲ” လို့ အဲဒီခရီးစဥ်အကြောင်းသိတဲ့ လုပ်ငန်းရှင်တစ်ဦးက ဘီဘီစီ ကို ပြောပါတယ်။"
ဒဏ်ရာရ ပါလက်စတိုင်းကို အစ္စရေးစစ်တပ်က ဂျစ်ကားရှေ့ဖုံးပေါ် ကြိုးနဲ့တုပ် တင်ခေါ်,"Sun, 23 Jun 2024 12:15:55 GMT",https://www.bbc.com/burmese/articles/cn000l1elpgo#0,https://www.bbc.com/burmese/articles/cn000l1elpgo,ဒဏ်ရာရသူကို လူသားဒိုင်းအဖြစ် အစ္စရေးစစ်တပ် အသုံးချတယ်ဆိုပြီး ကုလ အထူးကိုယ်စားလှယ် ပြစ်တင်ရှုတ်ချ
အရှေ့အာရှသားတွေ ဘာကြောင့် ဘာသာပြောင်းလာကြလဲ ,"Sun, 23 Jun 2024 10:09:51 GMT",https://www.bbc.com/burmese/articles/cz99z7l44r7o#0,https://www.bbc.com/burmese/articles/cz99z7l44r7o,ကမ္ဘာမှာ ဘာသာပြောင်းသူ ဒါမှမဟုတ် ဘာသာမဲ့ဖြစ်သူအရေအတွက်က အရှေ့အာရှမှာ အမြင့်ဆုံးနှုန်းရှိနေတာ တွေ့ရပါတယ်။
